Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38,38,3420,38,1.66,1.66,5.39,3.82,70.7,0.18,0.05,0.76,0.13,13.2,0.11,0.08,0,0.03,0
Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,33,1987,3,3,270,3,1,1,3,2,66.7,0.67,0,0.33,0.33,33.3,0,0,0,0,
Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,23,1996,2,2,180,2,2.5,2.5,4,2,50,0,0,1,0,0,0.5,0.5,0,0,0
John Ruddy\John-Ruddy,eng ENG,GK,Wolves,33,1986,2,1,91,1,1,0.99,4,3,75,0,0,1,0,0,0,0,0,0,
Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28,1992,11,11,990,11,1.73,1.73,2.73,1.45,50,0.18,0.36,0.45,0.18,18.2,0.36,0.36,0,0,0
Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28,1992,3,3,270,3,0.67,0.67,3,2.67,88.9,0.33,0.33,0.33,0.33,33.3,0.33,0.33,0,0,0
Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,22,1997,27,27,2430,27,1,1,3.22,2.33,71.3,0.26,0.37,0.37,0.37,37,0.11,0.07,0,0.04,0
Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,33,1986,38,38,3420,38,1.32,1.32,3.53,2.29,65.7,0.53,0.16,0.32,0.29,28.9,0.11,0.11,0,0,0
Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,25,1995,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,
João Virgínia\Joao-Virginia,pt POR,GK,Everton,20,1999,1,0,48,0.5,0,0,6,6,100,0,0,0,0,,0,0,0,0,
